단어,점수
올려주다,0
올리다,0
올린다,0
올습니다,0
올시다,0
옭아매다,0
옮기다,0
옵나이다,0
옵니다,0
옵니다만,0
옷벗다,0
옹그리다,0
옹알거리다,0
옹크리다,0
와는,0
와도,0
와만,0
와아,0
와우,0
와이,0
와인,0
왁작대다,0
왤다,0
외다,0
외면,0
외우다,0
외치,0
외치다,0
요동치다,0
욕먹다,-1
용기,1
용다,0
용담,0
용면,0
용이,0
용인,0
용지,0
우그리다,0
우기,0
우기다,0
우물거리다,-1
우비다,0
우쭐거리다,-1
우쭐대다,-1
운수,0
운전,0
운지,0
운하,0
울다,0
울렁거리다,0
울렁대다,0
울렁이다,0
울리다,0
울먹거리다,0
울먹이다,0
울부짖다,0
움직,0
움직거리다,0
움직이다,0
움직임,0
움찔거리다,-1
움츠러들다,-1
움츠러지다,-1
움츠리다,-1
움치다,0
움켜잡다,0
움켜쥐다,0
움키다,0
움파다,0
웃기다,0
웃다,0
웃어요,0
웃음,0
웅성거리다,0
웅성대다,0
웅크리다,0
웨치다,0
읊조리다,0
음슴다,0
읎드다,0
응얼거리다,0
이겠다,0
이글거리다,0
이글대다,0
이기,0
이기다,0
이끌다,0
이다,0
이라고도,0
이래도,0
이루,0
이루다,1
이루어지다,1
이뤄지다,1
이르다,0
이름,0
이십,0
이아,0
이야기,0
이어지다,0
이어진,0
이었음,0
이인,0
이지,0
이지러지다,0
이하,0
이해,0
익다,0
익사,0
익숙해지다,1
익음,0
익히다,1
인가요,0
인거,0
인데,0
인정받다,2
일구다,0
일그러지다,0
일사,0
일시,0
일어,0
일어나고,0
일어나다,0
일어나서,0
일어서다,0
일으키다,0
일이,0
일주,0
일진,0
일치,0
일컫다,0
일텐데,0
